mjd,date,flag,ut1_minus_utc_s,ut1_minus_utc_error_s
41684,1973-01-02,I,0.8084178,0.0002710
41685,1973-01-03,I,0.8056163,0.0002710
41686,1973-01-04,I,0.8027895,0.0002710
41687,1973-01-05,I,0.7998729,0.0002710
41688,1973-01-06,I,0.7968144,0.0002710
41689,1973-01-07,I,0.7935822,0.0002710
41690,1973-01-08,I,0.7901710,0.0002710
41691,1973-01-09,I,0.7866053,0.0002710
41692,1973-01-10,I,0.7829389,0.0002710
41693,1973-01-11,I,0.7792487,0.0003439
41694,1973-01-12,I,0.7756218,0.0003895
41695,1973-01-13,I,0.7721359,0.0003986
41696,1973-01-14,I,0.7688378,0.0003986
41697,1973-01-15,I,0.7657235,0.0003986
41698,1973-01-16,I,0.7627325,0.0003986
41699,1973-01-17,I,0.7597608,0.0004261
41700,1973-01-18,I,0.7566931,0.0004579
41701,1973-01-19,I,0.7534441,0.0004814
41702,1973-01-20,I,0.7499880,0.0004814
41703,1973-01-21,I,0.7463651,0.0004814
41704,1973-01-22,I,0.7426621,0.0004814
41705,1973-01-23,I,0.7389789,0.0002710
41706,1973-01-24,I,0.7353998,0.0002710
41707,1973-01-25,I,0.7319778,0.0002710
41708,1973-01-26,I,0.7287348,0.0002710
41709,1973-01-27,I,0.7256670,0.0002710
41710,1973-01-28,I,0.7227502,0.0002710
41711,1973-01-29,I,0.7199427,0.0002710
41712,1973-01-30,I,0.7171871,0.0002710
41713,1973-01-31,I,0.7144166,0.0002710
41714,1973-02-01,I,0.7115628,0.0002710
41715,1973-02-02,I,0.7085656,0.0002710
41716,1973-02-03,I,0.7053831,0.0002710
41717,1973-02-04,I,0.7020005,0.0002710
41718,1973-02-05,I,0.6984370,0.0002710
41719,1973-02-06,I,0.6947473,0.0002710
41720,1973-02-07,I,0.6910149,0.0002710
41721,1973-02-08,I,0.6873348,0.0002710
41722,1973-02-09,I,0.6837911,0.0002710
41723,1973-02-10,I,0.6804349,0.0002710
41724,1973-02-11,I,0.6772686,0.0002710
41725,1973-02-12,I,0.6742427,0.0002710
41726,1973-02-13,I,0.6712667,0.0003693
41727,1973-02-14,I,0.6682328,0.0003693
41728,1973-02-15,I,0.6650466,0.0003693
41729,1973-02-16,I,0.6616571,0.0003693
41730,1973-02-17,I,0.6580719,0.0003693
41731,1973-02-18,I,0.6543535,0.0003693
41732,1973-02-19,I,0.6505970,0.0002710
41733,1973-02-20,I,0.6468995,0.0002710
41734,1973-02-21,I,0.6433358,0.0002710
41735,1973-02-22,I,0.6399465,0.0002710
41736,1973-02-23,I,0.6367394,0.0002710
41737,1973-02-24,I,0.6336961,0.0002710
41738,1973-02-25,I,0.6307782,0.0002710
41739,1973-02-26,I,0.6279321,0.0002710
41740,1973-02-27,I,0.6250933,0.0002710
41741,1973-02-28,I,0.6221928,0.0002710
41742,1973-03-01,I,0.6191649,0.0002710
41743,1973-03-02,I,0.6159565,0.0002710
41744,1973-03-03,I,0.6125364,0.0002710
41745,1973-03-04,I,0.6089055,0.0002710
41746,1973-03-05,I,0.6051039,0.0002710
41747,1973-03-06,I,0.6012100,0.0002710
41748,1973-03-07,I,0.5973269,0.0002710
41749,1973-03-08,I,0.5935565,0.0002710
41750,1973-03-09,I,0.5899692,0.0002710
41751,1973-03-10,I,0.5865821,0.0002710
41752,1973-03-11,I,0.5833541,0.0002710
41753,1973-03-12,I,0.5801992,0.0009126
41754,1973-03-13,I,0.5770120,0.0009126
41755,1973-03-14,I,0.5736970,0.0009126
41756,1973-03-15,I,0.5701931,0.0009126
41757,1973-03-16,I,0.5664886,0.0009126
41758,1973-03-17,I,0.5626220,0.0009126
41759,1973-03-18,I,0.5586697,0.0002710
41760,1973-03-19,I,0.5547245,0.0002710
41761,1973-03-20,I,0.5508716,0.0002710
41762,1973-03-21,I,0.5471712,0.0002710
41763,1973-03-22,I,0.5436500,0.0002710
41764,1973-03-23,I,0.5403039,0.0002710
41765,1973-03-24,I,0.5371033,0.0002710
41766,1973-03-25,I,0.5340013,0.0002710
41767,1973-03-26,I,0.5309397,0.0009499
41768,1973-03-27,I,0.5278547,0.0009499
41769,1973-03-28,I,0.5246836,0.0009499
41770,1973-03-29,I,0.5213715,0.0009499
41771,1973-03-30,I,0.5178783,0.0009499
41772,1973-03-31,I,0.5141868,0.0009499
41773,1973-04-01,I,0.5103137,0.0002710
41774,1973-04-02,I,0.5063163,0.0002710
41775,1973-04-03,I,0.5022885,0.0002710
41776,1973-04-04,I,0.4983412,0.0002710
41777,1973-04-05,I,0.4945702,0.0002710
41778,1973-04-06,I,0.4910225,0.0002710
41779,1973-04-07,I,0.4876799,0.0002710
41780,1973-04-08,I,0.4844647,0.0000063
41781,1973-04-09,I,0.4812696,0.0000370
41782,1973-04-10,I,0.4779933,0.0000370
41783,1973-04-11,I,0.4745689,0.0000370
41784,1973-04-12,I,0.4709778,0.0000370
41785,1973-04-13,I,0.4672468,0.0000370
41786,1973-04-14,I,0.4634359,0.0000519
41787,1973-04-15,I,0.4596221,0.0002710
41788,1973-04-16,I,0.4558821,0.0002710
41789,1973-04-17,I,0.4522776,0.0002710
41790,1973-04-18,I,0.4488449,0.0003700
41791,1973-04-19,I,0.4455907,0.0003700
41792,1973-04-20,I,0.4424939,0.0002801
41793,1973-04-21,I,0.4395122,0.0004449
41794,1973-04-22,I,0.4365897,0.0004801
41795,1973-04-23,I,0.4336648,0.0004298
41796,1973-04-24,I,0.4306768,0.0004434
41797,1973-04-25,I,0.4275726,0.0004434
41798,1973-04-26,I,0.4243110,0.0005055
41799,1973-04-27,I,0.4208678,0.0004060
41800,1973-04-28,I,0.4172431,0.0000402
41801,1973-04-29,I,0.4134697,0.0002710
41802,1973-04-30,I,0.4096171,0.0002710
41803,1973-05-01,I,0.4057844,0.0002710
41804,1973-05-02,I,0.4020762,0.0002710
41805,1973-05-03,I,0.3985685,0.0002710
41806,1973-05-04,I,0.3952777,0.0002710
41807,1973-05-05,I,0.3921511,0.0002710
41808,1973-05-06,I,0.3890860,0.0002710
41809,1973-05-07,I,0.3859701,0.0002710
41810,1973-05-08,I,0.3827218,0.0002710
41811,1973-05-09,I,0.3793140,0.0000870
41812,1973-05-10,I,0.3757735,0.0000870
41813,1973-05-11,I,0.3721634,0.0000870
41814,1973-05-12,I,0.3685599,0.0000870
41815,1973-05-13,I,0.3650348,0.0000870
41816,1973-05-14,I,0.3616450,0.0000870
41817,1973-05-15,I,0.3584266,0.0002710
41818,1973-05-16,I,0.3553922,0.0002395
41819,1973-05-17,I,0.3525297,0.0002395
41820,1973-05-18,I,0.3498042,0.0002395
41821,1973-05-19,I,0.3471638,0.0002395
41822,1973-05-20,I,0.3445481,0.0002395
41823,1973-05-21,I,0.3418967,0.0002395
41824,1973-05-22,I,0.3391570,0.0002710
41825,1973-05-23,I,0.3362893,0.0002710
41826,1973-05-24,I,0.3332699,0.0002710
41827,1973-05-25,I,0.3300944,0.0002710
41828,1973-05-26,I,0.3267817,0.0002710
41829,1973-05-27,I,0.3233789,0.0002710
41830,1973-05-28,I,0.3199611,0.0002710
41831,1973-05-29,I,0.3166201,0.0002710
41832,1973-05-30,I,0.3134398,0.0002710
41833,1973-05-31,I,0.3104640,0.0002710
41834,1973-06-01,I,0.3076727,0.0002710
41835,1973-06-02,I,0.3049837,0.0002710
41836,1973-06-03,I,0.3022809,0.0002710
41837,1973-06-04,I,0.2994605,0.0002710
41838,1973-06-05,I,0.2964705,0.0002710
41839,1973-06-06,I,0.2933252,0.0002710
41840,1973-06-07,I,0.2900913,0.0004509
41841,1973-06-08,I,0.2868582,0.0004509
41842,1973-06-09,I,0.2837086,0.0004509
41843,1973-06-10,I,0.2807024,0.0004509
41844,1973-06-11,I,0.2778733,0.0004509
41845,1973-06-12,I,0.2752317,0.0004509
41846,1973-06-13,I,0.2727668,0.0002710
41847,1973-06-14,I,0.2704483,0.0002710
41848,1973-06-15,I,0.2682287,0.0005702
41849,1973-06-16,I,0.2660491,0.0005702
41850,1973-06-17,I,0.2638477,0.0005702
41851,1973-06-18,I,0.2615698,0.0005702
41852,1973-06-19,I,0.2591741,0.0005702
41853,1973-06-20,I,0.2566369,0.0005702
41854,1973-06-21,I,0.2539551,0.0002710
41855,1973-06-22,I,0.2511461,0.0002710
41856,1973-06-23,I,0.2482491,0.0002321
41857,1973-06-24,I,0.2453232,0.0003459
41858,1973-06-25,I,0.2424429,0.0003459
41859,1973-06-26,I,0.2396828,0.0003459
41860,1973-06-27,I,0.2370944,0.0003459
41861,1973-06-28,I,0.2346823,0.0003459
41862,1973-06-29,I,0.2323922,0.0004307
41863,1973-06-30,I,0.2301216,0.0002710
41864,1973-07-01,I,0.2277557,0.0002710
41865,1973-07-02,I,0.2252119,0.0002710
41866,1973-07-03,I,0.2224729,0.0002710
41867,1973-07-04,I,0.2195902,0.0002710
41868,1973-07-05,I,0.2166607,0.0002710
41869,1973-07-06,I,0.2137885,0.0002710
41870,1973-07-07,I,0.2110549,0.0002710
41871,1973-07-08,I,0.2085047,0.0002710
41872,1973-07-09,I,0.2061493,0.0002710
41873,1973-07-10,I,0.2039750,0.0002710
41874,1973-07-11,I,0.2019501,0.0002710
41875,1973-07-12,I,0.2000285,0.0002710
41876,1973-07-13,I,0.1981521,0.0002710
41877,1973-07-14,I,0.1962575,0.0002710
41878,1973-07-15,I,0.1942844,0.0002710
41879,1973-07-16,I,0.1921851,0.0002710
41880,1973-07-17,I,0.1899311,0.0002710
41881,1973-07-18,I,0.1875170,0.0002710
41882,1973-07-19,I,0.1849610,0.0002710
41883,1973-07-20,I,0.1823037,0.0002710
41884,1973-07-21,I,0.1796035,0.0002710
41885,1973-07-22,I,0.1769293,0.0002710
41886,1973-07-23,I,0.1743483,0.0002710
41887,1973-07-24,I,0.1719096,0.0002710
41888,1973-07-25,I,0.1696270,0.0002710
41889,1973-07-26,I,0.1674656,0.0002710
41890,1973-07-27,I,0.1653434,0.0002710
41891,1973-07-28,I,0.1631514,0.0002710
41892,1973-07-29,I,0.1607898,0.0002710
41893,1973-07-30,I,0.1582066,0.0002710
41894,1973-07-31,I,0.1554181,0.0002710
41895,1973-08-01,I,0.1525044,0.0002710
41896,1973-08-02,I,0.1495778,0.0002710
41897,1973-08-03,I,0.1467448,0.0002710
41898,1973-08-04,I,0.1440777,0.0002710
41899,1973-08-05,I,0.1416050,0.0002710
41900,1973-08-06,I,0.1393192,0.0002710
41901,1973-08-07,I,0.1371881,0.0002710
41902,1973-08-08,I,0.1351648,0.0002710
41903,1973-08-09,I,0.1331923,0.0002710
41904,1973-08-10,I,0.1312073,0.0002710
41905,1973-08-11,I,0.1291470,0.0000927
41906,1973-08-12,I,0.1269571,0.0002206
41907,1973-08-13,I,0.1246002,0.0002206
41908,1973-08-14,I,0.1220622,0.0002482
41909,1973-08-15,I,0.1193548,0.0002482
41910,1973-08-16,I,0.1165163,0.0002183
41911,1973-08-17,I,0.1136071,0.0002464
41912,1973-08-18,I,0.1107006,0.0002161
41913,1973-08-19,I,0.1078680,0.0002161
41914,1973-08-20,I,0.1051613,0.0010326
41915,1973-08-21,I,0.1025971,0.0009113
41916,1973-08-22,I,0.1001482,0.0011148
41917,1973-08-23,I,0.0977447,0.0011148
41918,1973-08-24,I,0.0952896,0.0011148
41919,1973-08-25,I,0.0926851,0.0011148
41920,1973-08-26,I,0.0898626,0.0005990
41921,1973-08-27,I,0.0868080,0.0002710
41922,1973-08-28,I,0.0835702,0.0002710
41923,1973-08-29,I,0.0802474,0.0002710
41924,1973-08-30,I,0.0769554,0.0002710
41925,1973-08-31,I,0.0737935,0.0002710
41926,1973-09-01,I,0.0708212,0.0002710
41927,1973-09-02,I,0.0680534,0.0006676
41928,1973-09-03,I,0.0654699,0.0006676
41929,1973-09-04,I,0.0630280,0.0005035
41930,1973-09-05,I,0.0606731,0.0005035
41931,1973-09-06,I,0.0583445,0.0008448
41932,1973-09-07,I,0.0559804,0.0007750
41933,1973-09-08,I,0.0535242,0.0008076
41934,1973-09-09,I,0.0509322,0.0008076
41935,1973-09-10,I,0.0481788,0.0009735
41936,1973-09-11,I,0.0452619,0.0009735
41937,1973-09-12,I,0.0422068,0.0005113
41938,1973-09-13,I,0.0390659,0.0002710
41939,1973-09-14,I,0.0359132,0.0004237
41940,1973-09-15,I,0.0328289,0.0006062
41941,1973-09-16,I,0.0298786,0.0006062
41942,1973-09-17,I,0.0270925,0.0006062
41943,1973-09-18,I,0.0244530,0.0006062
41944,1973-09-19,I,0.0218975,0.0006062
41945,1973-09-20,I,0.0193345,0.0007452
41946,1973-09-21,I,0.0166675,0.0002710
41947,1973-09-22,I,0.0138216,0.0002710
41948,1973-09-23,I,0.0107642,0.0002710
41949,1973-09-24,I,0.0075152,0.0002710
41950,1973-09-25,I,0.0041426,0.0002710
41951,1973-09-26,I,0.0007438,0.0002710
41952,1973-09-27,I,-0.0025816,0.0002710
41953,1973-09-28,I,-0.0057578,0.0002710
41954,1973-09-29,I,-0.0087481,0.0002710
41955,1973-09-30,I,-0.0115567,0.0002710
41956,1973-10-01,I,-0.0142187,0.0002710
41957,1973-10-02,I,-0.0167878,0.0002710
41958,1973-10-03,I,-0.0193259,0.0002710
41959,1973-10-04,I,-0.0218957,0.0002710
41960,1973-10-05,I,-0.0245553,0.0002710
41961,1973-10-06,I,-0.0273522,0.0002710
41962,1973-10-07,I,-0.0303185,0.0002710
41963,1973-10-08,I,-0.0334655,0.0002710
41964,1973-10-09,I,-0.0367801,0.0002710
41965,1973-10-10,I,-0.0402230,0.0002710
41966,1973-10-11,I,-0.0437289,0.0005367
41967,1973-10-12,I,-0.0472151,0.0005367
41968,1973-10-13,I,-0.0506007,0.0003817
41969,1973-10-14,I,-0.0538311,0.0003817
41970,1973-10-15,I,-0.0568993,0.0004931
41971,1973-10-16,I,-0.0598522,0.0005235
41972,1973-10-17,I,-0.0627770,0.0005078
41973,1973-10-18,I,-0.0657721,0.0005916
41974,1973-10-19,I,-0.0689162,0.0006471
41975,1973-10-20,I,-0.0722474,0.0006471
41976,1973-10-21,I,-0.0757549,0.0006433
41977,1973-10-22,I,-0.0793851,0.0006554
41978,1973-10-23,I,-0.0830574,0.0007299
41979,1973-10-24,I,-0.0866852,0.0005887
41980,1973-10-25,I,-0.0901937,0.0002710
41981,1973-10-26,I,-0.0935357,0.0002710
41982,1973-10-27,I,-0.0966987,0.0002710
41983,1973-10-28,I,-0.0997029,0.0002710
41984,1973-10-29,I,-0.1025932,0.0002710
41985,1973-10-30,I,-0.1054279,0.0002710
41986,1973-10-31,I,-0.1082691,0.0002710
41987,1973-11-01,I,-0.1111747,0.0002710
41988,1973-11-02,I,-0.1141927,0.0002710
41989,1973-11-03,I,-0.1173573,0.0002710
41990,1973-11-04,I,-0.1206852,0.0005143
41991,1973-11-05,I,-0.1241736,0.0004293
41992,1973-11-06,I,-0.1277982,0.0004293
41993,1973-11-07,I,-0.1315113,0.0006403
41994,1973-11-08,I,-0.1352436,0.0006403
41995,1973-11-09,I,-0.1389145,0.0006403
41996,1973-11-10,I,-0.1424540,0.0005883
41997,1973-11-11,I,-0.1458272,0.0007344
41998,1973-11-12,I,-0.1490537,0.0007344
41999,1973-11-13,I,-0.1522051,0.0006057
42000,1973-11-14,I,-0.1553812,0.0006057
42001,1973-11-15,I,-0.1586718,0.0006057
42002,1973-11-16,I,-0.1621245,0.0007168
42003,1973-11-17,I,-0.1657309,0.0005864
42004,1973-11-18,I,-0.1694358,0.0005864
42005,1973-11-19,I,-0.1731585,0.0002710
42006,1973-11-20,I,-0.1768161,0.0002710
42007,1973-11-21,I,-0.1803414,0.0002710
42008,1973-11-22,I,-0.1836911,0.0002710
42009,1973-11-23,I,-0.1868497,0.0002710
42010,1973-11-24,I,-0.1898289,0.0002710
42011,1973-11-25,I,-0.1926643,0.0002710
42012,1973-11-26,I,-0.1954080,0.0002710
42013,1973-11-27,I,-0.1981199,0.0002710
42014,1973-11-28,I,-0.2008582,0.0002710
42015,1973-11-29,I,-0.2036719,0.0002710
42016,1973-11-30,I,-0.2065957,0.0002710
42017,1973-12-01,I,-0.2096471,0.0002710
42018,1973-12-02,I,-0.2128261,0.0002710
42019,1973-12-03,I,-0.2161153,0.0005511
42020,1973-12-04,I,-0.2194796,0.0005511
42021,1973-12-05,I,-0.2228670,0.0004805
42022,1973-12-06,I,-0.2262122,0.0004739
42023,1973-12-07,I,-0.2294497,0.0004739
42024,1973-12-08,I,-0.2325339,0.0006623
42025,1973-12-09,I,-0.2354623,0.0007348
42026,1973-12-10,I,-0.2382872,0.0007348
42027,1973-12-11,I,-0.2411036,0.0008460
42028,1973-12-12,I,-0.2440146,0.0013128
42029,1973-12-13,I,-0.2470908,0.0012528
42030,1973-12-14,I,-0.2503419,0.0008456
42031,1973-12-15,I,-0.2537141,0.0008456
42032,1973-12-16,I,-0.2571138,0.0008456
42033,1973-12-17,I,-0.2604418,0.0008456
42034,1973-12-18,I,-0.2636212,0.0008456
42035,1973-12-19,I,-0.2666082,0.0001206
42036,1973-12-20,I,-0.2693916,0.0002710
42037,1973-12-21,I,-0.2719860,0.0002710
42038,1973-12-22,I,-0.2744256,0.0002710
42039,1973-12-23,I,-0.2767591,0.0002710
42040,1973-12-24,I,-0.2790441,0.0002710
42041,1973-12-25,I,-0.2813401,0.0002710
42042,1973-12-26,I,-0.2836993,0.0002710
42043,1973-12-27,I,-0.2861602,0.0002710
42044,1973-12-28,I,-0.2887427,0.0002710
42045,1973-12-29,I,-0.2914476,0.0002710
42046,1973-12-30,I,-0.2942581,0.0002710
42047,1973-12-31,I,-0.2971424,0.0002710
42048,1974-01-01,I,0.6999438,0.0002710
42049,1974-01-02,I,0.6970539,0.0002710
42050,1974-01-03,I,0.6942436,0.0002710
42051,1974-01-04,I,0.6915576,0.0002710
42052,1974-01-05,I,0.6890115,0.0002710
42053,1974-01-06,I,0.6865758,0.0002710
42054,1974-01-07,I,0.6841739,0.0002710
42055,1974-01-08,I,0.6817011,0.0002710
42056,1974-01-09,I,0.6790627,0.0002710
42057,1974-01-10,I,0.6762134,0.0002710
42058,1974-01-11,I,0.6731788,0.0002710
42059,1974-01-12,I,0.6700467,0.0002710
42060,1974-01-13,I,0.6669336,0.0002710
42061,1974-01-14,I,0.6639450,0.0002710
42062,1974-01-15,I,0.6611472,0.0002710
42063,1974-01-16,I,0.6585612,0.0002710
42064,1974-01-17,I,0.6561715,0.0002710
42065,1974-01-18,I,0.6539399,0.0002710
42066,1974-01-19,I,0.6518159,0.0002710
42067,1974-01-20,I,0.6497421,0.0002710
42068,1974-01-21,I,0.6476585,0.0002710
42069,1974-01-22,I,0.6455090,0.0002710
42070,1974-01-23,I,0.6432493,0.0002710
42071,1974-01-24,I,0.6408530,0.0002710
42072,1974-01-25,I,0.6383150,0.0002710
42073,1974-01-26,I,0.6356505,0.0002710
42074,1974-01-27,I,0.6328924,0.0002710
42075,1974-01-28,I,0.6300862,0.0002710
42076,1974-01-29,I,0.6272847,0.0002710
42077,1974-01-30,I,0.6245402,0.0002710
42078,1974-01-31,I,0.6218946,0.0002104
42079,1974-02-01,I,0.6193665,0.0002104
42080,1974-02-02,I,0.6169393,0.0002104
42081,1974-02-03,I,0.6145544,0.0002104
42082,1974-02-04,I,0.6121192,0.0002104
42083,1974-02-05,I,0.6095322,0.0002104
42084,1974-02-06,I,0.6067194,0.0002710
42085,1974-02-07,I,0.6036662,0.0001457
42086,1974-02-08,I,0.6004295,0.0001457
42087,1974-02-09,I,0.5971202,0.0001457
42088,1974-02-10,I,0.5938641,0.0001457
42089,1974-02-11,I,0.5907626,0.0001091
42090,1974-02-12,I,0.5878679,0.0001091
42091,1974-02-13,I,0.5851819,0.0000506
42092,1974-02-14,I,0.5826700,0.0000506
42093,1974-02-15,I,0.5802797,0.0000506
42094,1974-02-16,I,0.5779513,0.0000506
42095,1974-02-17,I,0.5756244,0.0002710
42096,1974-02-18,I,0.5732413,0.0002710
42097,1974-02-19,I,0.5707527,0.0002710
42098,1974-02-20,I,0.5681244,0.0002710
42099,1974-02-21,I,0.5653429,0.0002710
42100,1974-02-22,I,0.5624169,0.0002710
42101,1974-02-23,I,0.5593762,0.0002710
42102,1974-02-24,I,0.5562673,0.0002710
42103,1974-02-25,I,0.5531474,0.0002710
42104,1974-02-26,I,0.5500745,0.0002710
42105,1974-02-27,I,0.5470965,0.0002710
42106,1974-02-28,I,0.5442380,0.0002710
42107,1974-03-01,I,0.5414901,0.0002710
42108,1974-03-02,I,0.5388066,0.0002710
42109,1974-03-03,I,0.5361088,0.0002710
42110,1974-03-04,I,0.5333018,0.0002710
42111,1974-03-05,I,0.5303016,0.0002710
42112,1974-03-06,I,0.5270642,0.0002710
42113,1974-03-07,I,0.5236066,0.0002710
42114,1974-03-08,I,0.5200074,0.0002710
42115,1974-03-09,I,0.5163838,0.0002710
42116,1974-03-10,I,0.5128546,0.0002710
42117,1974-03-11,I,0.5095052,0.0002710
42118,1974-03-12,I,0.5063690,0.0002710
42119,1974-03-13,I,0.5034312,0.0002710
42120,1974-03-14,I,0.5006447,0.0002710
42121,1974-03-15,I,0.4979486,0.0002710
42122,1974-03-16,I,0.4952804,0.0002710
42123,1974-03-17,I,0.4925811,0.0002710
42124,1974-03-18,I,0.4897991,0.0002710
42125,1974-03-19,I,0.4868946,0.0002710
42126,1974-03-20,I,0.4838452,0.0002710
42127,1974-03-21,I,0.4806495,0.0002710
42128,1974-03-22,I,0.4773279,0.0002710
42129,1974-03-23,I,0.4739205,0.0002710
42130,1974-03-24,I,0.4704827,0.0002710
42131,1974-03-25,I,0.4670769,0.0002710
42132,1974-03-26,I,0.4637605,0.0002710
42133,1974-03-27,I,0.4605702,0.0002710
42134,1974-03-28,I,0.4575087,0.0002710
42135,1974-03-29,I,0.4545396,0.0002710
42136,1974-03-30,I,0.4515928,0.0002710
42137,1974-03-31,I,0.4485812,0.0002710
42138,1974-04-01,I,0.4454233,0.0002710
42139,1974-04-02,I,0.4420667,0.0002710
42140,1974-04-03,I,0.4385054,0.0002710
42141,1974-04-04,I,0.4347858,0.0002710
42142,1974-04-05,I,0.4309973,0.0002710
42143,1974-04-06,I,0.4272484,0.0002710
42144,1974-04-07,I,0.4236357,0.0002710
42145,1974-04-08,I,0.4202190,0.0002710
42146,1974-04-09,I,0.4170100,0.0002710
42147,1974-04-10,I,0.4139793,0.0002710
42148,1974-04-11,I,0.4110721,0.0002710
42149,1974-04-12,I,0.4082249,0.0002710
42150,1974-04-13,I,0.4053770,0.0002710
42151,1974-04-14,I,0.4024755,0.0002710
42152,1974-04-15,I,0.3994786,0.0002710
42153,1974-04-16,I,0.3963591,0.0002710
42154,1974-04-17,I,0.3931082,0.0002710
42155,1974-04-18,I,0.3897363,0.0002710
42156,1974-04-19,I,0.3862732,0.0002710
42157,1974-04-20,I,0.3827656,0.0002710
42158,1974-04-21,I,0.3792718,0.0002710
42159,1974-04-22,I,0.3758526,0.0002710
42160,1974-04-23,I,0.3725566,0.0002710
42161,1974-04-24,I,0.3694030,0.0002710
42162,1974-04-25,I,0.3663697,0.0002710
42163,1974-04-26,I,0.3633949,0.0002710
42164,1974-04-27,I,0.3603935,0.0002710
42165,1974-04-28,I,0.3572837,0.0002710
42166,1974-04-29,I,0.3540118,0.0002710
42167,1974-04-30,I,0.3505675,0.0002710
42168,1974-05-01,I,0.3469865,0.0000881
42169,1974-05-02,I,0.3433401,0.0000881
42170,1974-05-03,I,0.3397183,0.0000881
42171,1974-05-04,I,0.3362085,0.0000881
42172,1974-05-05,I,0.3328749,0.0000881
42173,1974-05-06,I,0.3297456,0.0000881
42174,1974-05-07,I,0.3268099,0.0002710
42175,1974-05-08,I,0.3240255,0.0002710
42176,1974-05-09,I,0.3213335,0.0002710
42177,1974-05-10,I,0.3186717,0.0002710
42178,1974-05-11,I,0.3159848,0.0002710
42179,1974-05-12,I,0.3132294,0.0002710
42180,1974-05-13,I,0.3103768,0.0002710
42181,1974-05-14,I,0.3074146,0.0002710
42182,1974-05-15,I,0.3043480,0.0002710
42183,1974-05-16,I,0.3011990,0.0002710
42184,1974-05-17,I,0.2980043,0.0002710
42185,1974-05-18,I,0.2948130,0.0002710
42186,1974-05-19,I,0.2916807,0.0002710
42187,1974-05-20,I,0.2886593,0.0002710
42188,1974-05-21,I,0.2857812,0.0002710
42189,1974-05-22,I,0.2830427,0.0002710
42190,1974-05-23,I,0.2803960,0.0002710
42191,1974-05-24,I,0.2777595,0.0002710
42192,1974-05-25,I,0.2750436,0.0002710
42193,1974-05-26,I,0.2721837,0.0002710
42194,1974-05-27,I,0.2691634,0.0002710
42195,1974-05-28,I,0.2660190,0.0002710
42196,1974-05-29,I,0.2628251,0.0002710
42197,1974-05-30,I,0.2596711,0.0002710
42198,1974-05-31,I,0.2566387,0.0002710
42199,1974-06-01,I,0.2537862,0.0002710
42200,1974-06-02,I,0.2511410,0.0002710
42201,1974-06-03,I,0.2486987,0.0002710
42202,1974-06-04,I,0.2464268,0.0002710
42203,1974-06-05,I,0.2442733,0.0002710
42204,1974-06-06,I,0.2421779,0.0002710
42205,1974-06-07,I,0.2400825,0.0002710
42206,1974-06-08,I,0.2379399,0.0002230
42207,1974-06-09,I,0.2357183,0.0003724
42208,1974-06-10,I,0.2334032,0.0003877
42209,1974-06-11,I,0.2309975,0.0003877
42210,1974-06-12,I,0.2285200,0.0003877
42211,1974-06-13,I,0.2260020,0.0003877
42212,1974-06-14,I,0.2234839,0.0004478
42213,1974-06-15,I,0.2210118,0.0004166
42214,1974-06-16,I,0.2186316,0.0002710
42215,1974-06-17,I,0.2163787,0.0002710
42216,1974-06-18,I,0.2142621,0.0002710
42217,1974-06-19,I,0.2122513,0.0002710
42218,1974-06-20,I,0.2102747,0.0002710
42219,1974-06-21,I,0.2082374,0.0002710
42220,1974-06-22,I,0.2060541,0.0002710
42221,1974-06-23,I,0.2036846,0.0002710
42222,1974-06-24,I,0.2011517,0.0002710
42223,1974-06-25,I,0.1985326,0.0002710
42224,1974-06-26,I,0.1959314,0.0000821
42225,1974-06-27,I,0.1934446,0.0002334
42226,1974-06-28,I,0.1911372,0.0002334
42227,1974-06-29,I,0.1890351,0.0002785
42228,1974-06-30,I,0.1871290,0.0002785
42229,1974-07-01,I,0.1853854,0.0002785
42230,1974-07-02,I,0.1837541,0.0003361
42231,1974-07-03,I,0.1821775,0.0003518
42232,1974-07-04,I,0.1805972,0.0003518
42233,1974-07-05,I,0.1789623,0.0002710
42234,1974-07-06,I,0.1772358,0.0002710
42235,1974-07-07,I,0.1753992,0.0002710
42236,1974-07-08,I,0.1734528,0.0004381
42237,1974-07-09,I,0.1714139,0.0004381
42238,1974-07-10,I,0.1693126,0.0003235
42239,1974-07-11,I,0.1671878,0.0003235
42240,1974-07-12,I,0.1650821,0.0003235
42241,1974-07-13,I,0.1630370,0.0003235
42242,1974-07-14,I,0.1610859,0.0001319
42243,1974-07-15,I,0.1592442,0.0001319
42244,1974-07-16,I,0.1574964,0.0002710
42245,1974-07-17,I,0.1557884,0.0002710
42246,1974-07-18,I,0.1540328,0.0002710
42247,1974-07-19,I,0.1521334,0.0002710
42248,1974-07-20,I,0.1500210,0.0002710
42249,1974-07-21,I,0.1476858,0.0002710
42250,1974-07-22,I,0.1451868,0.0002710
42251,1974-07-23,I,0.1426340,0.0002710
42252,1974-07-24,I,0.1401491,0.0002710
42253,1974-07-25,I,0.1378273,0.0002710
42254,1974-07-26,I,0.1357144,0.0002710
42255,1974-07-27,I,0.1338074,0.0002710
42256,1974-07-28,I,0.1320688,0.0002710
42257,1974-07-29,I,0.1304431,0.0002710
42258,1974-07-30,I,0.1288695,0.0002710
42259,1974-07-31,I,0.1272882,0.0002710
42260,1974-08-01,I,0.1256451,0.0005824
