target            data   warmp50   warmp95   warmp99 spreadp50   coldp50  peakRSS
core                 0    0.1544    0.3234    0.4588    0.1524    0.6016    70.89
prototype        31.21    0.3329    1.0600    1.2845    0.2978    1.9530    64.14
A resident        4.78    0.0421    0.1166    0.2683    0.0219    3.0969    68.54
A low-memory      4.78    0.0399    0.1189    0.2513    0.0432    0.5622    62.95
B resident        4.76    0.0547    0.1191    0.2590    0.0324    3.4901    67.91
B low-memory      4.76    0.0503    0.1206    0.2617    0.0399    1.0049    62.61
C resident        1.78    1.2106    1.6257    2.4180    1.1980    5.1521    80.81
D resident        1.66    0.0514    0.1238    0.2360    0.0406    2.3846    65.01
D low-memory      1.66    0.0552    0.1328    0.2652    0.0525    1.2397    62.72
